0	,
171.0832907	,
339.2392988	,
501.5908285	,
655.36	,
797.9157802	,
926.8190002	,
1039.86409	,
1135.116817	,
1210.947381	,
1266.058299	,
1299.506609	,
1310.72	,
1299.506609	,
1266.058299	,
1210.947381	,
1135.116817	,
1039.86409	,
926.8190002	,
797.9157802	,
655.36	,
501.5908285	,
339.2392988	,
171.0832907	,
1.61E-13	,
-171.0832907	,
-339.2392988	,
-501.5908285	,
-655.36	,
-797.9157802	,
-926.8190002	,
-1039.86409	,
-1135.116817	,
-1210.947381	,
-1266.058299	,
-1299.506609	,
-1310.72	,
-1299.506609	,
-1266.058299	,
-1210.947381	,
-1135.116817	,
-1039.86409	,
-926.8190002	,
-797.9157802	,
-655.36	,
-501.5908285	,
-339.2392988	,
-171.0832907	,
-3.21E-13	,
171.0832907	,
339.2392988	,
501.5908285	,
655.36	,
797.9157802	,
926.8190002	,
1039.86409	,
1135.116817	,
1210.947381	,
1266.058299	,
1299.506609	,
1310.72	,
1299.506609	,
1266.058299	,
1210.947381	,
1135.116817	,
1039.86409	,
926.8190002	,
797.9157802	,
655.36	,
501.5908285	,
339.2392988	,
171.0832907	,
4.82E-13	,
-171.0832907	,
-339.2392988	,
-501.5908285	,
-655.36	,
-797.9157802	,
-926.8190002	,
-1039.86409	,
-1135.116817	,
-1210.947381	,
-1266.058299	,
-1299.506609	,
-1310.72	,
-1299.506609	,
-1266.058299	,
-1210.947381	,
-1135.116817	,
-1039.86409	,
-926.8190002	,
-797.9157802	,
-655.36	,
-501.5908285	,
-339.2392988	,
-171.0832907	,
-6.42E-13	,
171.0832907	,
339.2392988	,
501.5908285	,
655.36	,
797.9157802	,
926.8190002	,
1039.86409	,
1135.116817	,
1210.947381	,
1266.058299	,
1299.506609	,
1310.72	,
1299.506609	,
1266.058299	,
1210.947381	,
1135.116817	,
1039.86409	,
926.8190002	,
797.9157802	,
655.36	,
501.5908285	,
339.2392988	,
171.0832907	,
8.03E-13	,
-171.0832907	,
-339.2392988	,
-501.5908285	,
-655.36	,
-797.9157802	,
-926.8190002	,
-1039.86409	,
-1135.116817	,
-1210.947381	,
-1266.058299	,
-1299.506609	,
-1310.72	,
-1299.506609	,
-1266.058299	,
-1210.947381	,
-1135.116817	,
-1039.86409	,
-926.8190002	,
-797.9157802	,
-655.36	,
-501.5908285	,
-339.2392988	,
-171.0832907	,
-9.63E-13	,
171.0832907	,
339.2392988	,
501.5908285	,
655.36	,
797.9157802	,
926.8190002	,
1039.86409	,
1135.116817	,
1210.947381	,
1266.058299	,
1299.506609	,
1310.72	,
1299.506609	,
1266.058299	,
1210.947381	,
1135.116817	,
1039.86409	,
926.8190002	,
797.9157802	,
655.36	,
501.5908285	,
339.2392988	,
171.0832907	,
1.12E-12	,
-171.0832907	,
-339.2392988	,
-501.5908285	,
-655.36	,
-797.9157802	,
-926.8190002	,
-1039.86409	,
-1135.116817	,
-1210.947381	,
-1266.058299	,
-1299.506609	,
-1310.72	,
-1299.506609	,
-1266.058299	,
-1210.947381	,
-1135.116817	,
-1039.86409	,
-926.8190002	,
-797.9157802	,
-655.36	,
-501.5908285	,
-339.2392988	,
-171.0832907	,
-1.28E-12	,
171.0832907	,
339.2392988	,
501.5908285	,
655.36	,
797.9157802	,
926.8190002	,
1039.86409	,
1135.116817	,
1210.947381	,
1266.058299	,
1299.506609	,
1310.72	,
1299.506609	,
1266.058299	,
1210.947381	,
1135.116817	,
1039.86409	,
926.8190002	,
797.9157802	,
655.36	,
501.5908285	,
339.2392988	,
171.0832907	,
6.10E-12	,
-171.0832907	,
-339.2392988	,
-501.5908285	,
-655.36	,
-797.9157802	,
-926.8190002	,
-1039.86409	,
-1135.116817	,
-1210.947381	,
-1266.058299	,
-1299.506609	,
-1310.72	,
-1299.506609	,
-1266.058299	,
-1210.947381	,
-1135.116817	,
-1039.86409	,
-926.8190002	,
-797.9157802	,
-655.36	,
-501.5908285	,
-339.2392988	,
-171.0832907	,
-1.61E-12	,
171.0832907	,
339.2392988	,
501.5908285	,
655.36	,
797.9157802	,
926.8190002	,
1039.86409	,
1135.116817	,
1210.947381	,
1266.058299	,
1299.506609	,
1310.72	,
1299.506609	,
1266.058299	,
1210.947381	,
1135.116817	,
1039.86409	,
926.8190002	,
797.9157802	,
655.36	,
501.5908285	,
339.2392988	,
171.0832907	,
6.42E-12	,
-171.0832907	,
-339.2392988	,
-501.5908285	,
